   -2.937500E+0;   +1.000000E+0
   -2.875000E+0;   +0.000000E+0
   -2.812500E+0;   +1.000000E+0
   -2.750000E+0;   +0.000000E+0
   -2.687500E+0;   +0.000000E+0
   -2.625000E+0;   +1.000000E+0
   -2.562500E+0;   +2.000000E+0
   -2.500000E+0;   +2.000000E+0
   -2.437500E+0;   +1.000000E+0
   -2.375000E+0;   +1.000000E+0
   -2.312500E+0;   +3.000000E+0
   -2.250000E+0;   +2.000000E+0
   -2.187500E+0;   +2.000000E+0
   -2.125000E+0;   +0.000000E+0
   -2.062500E+0;   +1.000000E+0
   -2.000000E+0;   +1.000000E+0
   -1.937500E+0;   +2.000000E+0
   -1.875000E+0;   +1.000000E+0
   -1.812500E+0;   +1.000000E+0
   -1.750000E+0;   +2.000000E+0
   -1.687500E+0;   +1.000000E+0
   -1.625000E+0;   +1.000000E+0
   -1.562500E+0;   +4.000000E+0
   -1.500000E+0;   +9.000000E+0
   -1.437500E+0;   +8.000000E+0
   -1.375000E+0;   +6.000000E+0
   -1.312500E+0;   +1.000000E+1
   -1.250000E+0;   +1.500000E+1
   -1.187500E+0;   +3.000000E+1
   -1.125000E+0;   +3.600000E+1
   -1.062500E+0;   +4.000000E+1
   -1.000000E+0;   +5.900000E+1
   -9.375000E-1;   +7.500000E+1
   -8.750000E-1;   +1.150000E+2
   -8.125000E-1;   +2.080000E+2
   -7.500000E-1;   +3.800000E+2
   -6.875000E-1;   +6.070000E+2
   -6.250000E-1;   +1.136000E+3
   -5.625000E-1;   +2.060000E+3
   -5.000000E-1;   +4.145000E+3
   -4.375000E-1;   +8.253000E+3
   -3.750000E-1;   +1.666000E+4
   -3.125000E-1;   +3.361300E+4
   -2.500000E-1;   +6.587600E+4
   -1.875000E-1;   +1.297100E+5
   -1.250000E-1;   +2.117460E+5
   -6.250000E-2;   +2.747990E+5
   +0.000000E+0;   +2.875510E+5
   +6.250000E-2;   +2.380730E+5
   +1.250000E-1;   +1.491320E+5
   +1.875000E-1;   +6.767300E+4
   +2.500000E-1;   +2.409600E+4
   +3.125000E-1;   +7.482000E+3
   +3.750000E-1;   +2.243000E+3
   +4.375000E-1;   +5.930000E+2
   +5.000000E-1;   +1.670000E+2
   +5.625000E-1;   +3.100000E+1
   +6.250000E-1;   +1.600000E+1
   +6.875000E-1;   +2.000000E+0
   +7.500000E-1;   +6.000000E+0
   +8.125000E-1;   +4.000000E+0
   +8.750000E-1;   +0.000000E+0
   +9.375000E-1;   +1.000000E+0
   +1.000000E+0;   +0.000000E+0
   +1.062500E+0;   +2.000000E+0
   +1.125000E+0;   +0.000000E+0
   +1.187500E+0;   +1.000000E+0
   +1.250000E+0;   +2.000000E+0
   +1.312500E+0;   +0.000000E+0
   +1.375000E+0;   +1.000000E+0
   +1.437500E+0;   +0.000000E+0
   +1.500000E+0;   +2.000000E+0
   +1.562500E+0;   +1.000000E+0
   +1.625000E+0;   +3.000000E+0
   +1.687500E+0;   +3.000000E+0
   +1.750000E+0;   +2.000000E+0
   +1.812500E+0;   +1.000000E+0
   +1.875000E+0;   +1.000000E+0
   +1.937500E+0;   +2.000000E+0
   +2.000000E+0;   +2.000000E+0
