# w(nm)	HiR-Si	Si-SiN	Al2O3	SiO2
1.379499999999999886e+02	1.395530963470889446e+03	1.440073522285542140e+03	1.311875628111800324e+03	1.592614736483527849e+03
1.387800000000000011e+02	1.394752235547642613e+03	1.438972262935710432e+03	1.310829384442844002e+03	1.591669240014254456e+03
1.396099999999999852e+02	1.393980206727178711e+03	1.437880477304946908e+03	1.309792141213791183e+03	1.590731877294702372e+03
1.404399999999999977e+02	1.393214772790926418e+03	1.436798018009713587e+03	1.308763758403953034e+03	1.589802521787363276e+03
1.412699999999999818e+02	1.392455831762663593e+03	1.435724740837552417e+03	1.307744099005301450e+03	1.588881049677287592e+03
1.420999999999999943e+02	1.391703283847368994e+03	1.434660504660610059e+03	1.306733028940315990e+03	1.587967339797843124e+03
1.429300000000000068e+02	1.390957031372084657e+03	1.433605171352006892e+03	1.305730416982530187e+03	1.587061273558911125e+03
1.437599999999999909e+02	1.390216978728714594e+03	1.432558605704943602e+03	1.304736134679678798e+03	1.586162734877435014e+03
1.445900000000000034e+02	1.389483032318682945e+03	1.431520675354439845e+03	1.303750056279347518e+03	1.585271610110228266e+03
1.454199999999999875e+02	1.388755100499383389e+03	1.430491250701602212e+03	1.302772058657022171e+03	1.584387787988954415e+03
1.462500000000000000e+02	1.388033093532349767e+03	1.429470204840328506e+03	1.301802021246456889e+03	1.583511159557197743e+03
1.470799999999999841e+02	1.387316923533084037e+03	1.428457413486357382e+03	1.300839825972266453e+03	1.582641618109548290e+03
1.479099999999999966e+02	1.386606504422481066e+03	1.427452754908572388e+03	1.299885357184663917e+03	1.581779059132622479e+03
1.487399999999999807e+02	1.385901751879790027e+03	1.426456109862482435e+03	1.298938501596261631e+03	1.580923380247952082e+03
1.495699999999999932e+02	1.385202583297052797e+03	1.425467361525787510e+03	1.297999148220859070e+03	1.580074481156663978e+03
1.504000000000000057e+02	1.384508917734969828e+03	1.424486395435968916e+03	1.297067188314148098e+03	1.579232263585896362e+03
1.512299999999999898e+02	1.383820675880137969e+03	1.423513099429812200e+03	1.296142515316259505e+03	1.578396631236877511e+03
1.520600000000000023e+02	1.383137780003612988e+03	1.422547363584808636e+03	1.295225024796089656e+03	1.577567489734613673e+03
1.528899999999999864e+02	1.382460153920743551e+03	1.421589080162354094e+03	1.294314614397338346e+03	1.576744746579123330e+03
1.537199999999999989e+02	1.381787722952238710e+03	1.420638143552691190e+03	1.293411183786201491e+03	1.575928311098165523e+03
1.545499999999999829e+02	1.381120413886419328e+03	1.419694450221524903e+03	1.292514634600653153e+03	1.575118094401407689e+03
1.553799999999999955e+02	1.380458154942610008e+03	1.418757898658253907e+03	1.291624870401263706e+03	1.574314009335977289e+03
1.562099999999999795e+02	1.379800875735638101e+03	1.417828389325764874e+03	1.290741796623501159e+03	1.573515970443359492e+03
1.570399999999999920e+02	1.379148507241393190e+03	1.416905824611728121e+03	1.289865320531460611e+03	1.572723893917579062e+03
1.578700000000000045e+02	1.378500981763415211e+03	1.415990108781346407e+03	1.288995351172974551e+03	1.571937697564634618e+03
1.586999999999999886e+02	1.377858232900470739e+03	1.415081147931502983e+03	1.288131799336049880e+03	1.571157300763131161e+03
1.595300000000000011e+02	1.377220195515089699e+03	1.414178849946266382e+03	1.287274577506595961e+03	1.570382624426077655e+03
1.603599999999999852e+02	1.376586805703020673e+03	1.413283124453695336e+03	1.286423599827388443e+03	1.569613590963802380e+03
1.611899999999999977e+02	1.375958000763581822e+03	1.412393882783909021e+03	1.285578782058233628e+03	1.568850124247953772e+03
1.620199999999999818e+02	1.375333719170871518e+03	1.411511037928373753e+03	1.284740041537287652e+03	1.568092149576544898e+03
1.628499999999999943e+02	1.374713900545810475e+03	1.410634504500367029e+03	1.283907297143498226e+03	1.567339593640009980e+03
1.636799999999999784e+02	1.374098485628988783e+03	1.409764198696576159e+03	1.283080469260119571e+03	1.566592384488234757e+03
1.645099999999999909e+02	1.373487416254288974e+03	1.408900038259798521e+03	1.282259479739277594e+03	1.565850451498532038e+03
1.653400000000000034e+02	1.372880635323260776e+03	1.408041942442701838e+03	1.281444251867539606e+03	1.565113725344527438e+03
1.661699999999999875e+02	1.372278086780220974e+03	1.407189831972611955e+03	1.280634710332460372e+03	1.564382137965928450e+03
1.670000000000000000e+02	1.371679715588054705e+03	1.406343629017290368e+03	1.279830781190072230e+03	1.563655622539142314e+03
1.678299999999999841e+02	1.371085467704697066e+03	1.405503257151675598e+03	1.279032391833284464e+03	1.562934113448720836e+03
1.686599999999999966e+02	1.370495290060269326e+03	1.404668641325550198e+03	1.278239470961168536e+03	1.562217546259600567e+03
1.694899999999999807e+02	1.369909130534850874e+03	1.403839707832105432e+03	1.277451948549090957e+03	1.561505857690115135e+03
1.703199999999999932e+02	1.369326937936865534e+03	1.403016384277376801e+03	1.276669755819676993e+03	1.560798985585751552e+03
1.711500000000000057e+02	1.368748661982061776e+03	1.402198599550516974e+03	1.275892825214568575e+03	1.560096868893630472e+03
1.719799999999999898e+02	1.368174253273069098e+03	1.401386283794886367e+03	1.275121090366958015e+03	1.559399447637682442e+03
1.728100000000000023e+02	1.367603663279510329e+03	1.400579368379927246e+03	1.274354486074869101e+03	1.558706662894504234e+03
1.736399999999999864e+02	1.367036844318654403e+03	1.399777785873803850e+03	1.273592948275162144e+03	1.558018456769864542e+03
1.744699999999999989e+02	1.366473749536588912e+03	1.398981470016777166e+03	1.272836414018239793e+03	1.557334772375847933e+03
1.752999999999999829e+02	1.365914332889901743e+03	1.398190355695298877e+03	1.272084821443435430e+03	1.556655553808610648e+03
1.761299999999999955e+02	1.365358549127848164e+03	1.397404378916793121e+03	1.271338109755054347e+03	1.555980746126730992e+03
1.769599999999999795e+02	1.364806353774995387e+03	1.396623476785112416e+03	1.270596219199055668e+03	1.555310295330136341e+03
1.777899999999999920e+02	1.364257703114325068e+03	1.395847587476642047e+03	1.269859091040350904e+03	1.554644148339586081e+03
1.786200000000000045e+02	1.363712554170782823e+03	1.395076650217035876e+03	1.269126667540701419e+03	1.553982252976699783e+03
1.794499999999999886e+02	1.363170864695257251e+03	1.394310605258559690e+03	1.268398891937194321e+03	1.553324557944503795e+03
1.802800000000000011e+02	1.362632593148978913e+03	1.393549393858028452e+03	1.267675708421281797e+03	1.552671012808489650e+03
1.811099999999999852e+02	1.362097698688323362e+03	1.392792958255316535e+03	1.266957062118363410e+03	1.552021567978163148e+03
1.819399999999999977e+02	1.361566141150009571e+03	1.392041241652422741e+03	1.266242899067900453e+03	1.551376174689072286e+03
1.827699999999999818e+02	1.361037881036677391e+03	1.391294188193077389e+03	1.265533166204037343e+03	1.550734784985295846e+03
1.835999999999999943e+02	1.360512879502835403e+03	1.390551742942868941e+03	1.264827811336724835e+03	1.550097351702383776e+03
1.844299999999999784e+02	1.359991098341169618e+03	1.389813851869881091e+03	1.264126783133322078e+03	1.549463828450730944e+03
1.852599999999999909e+02	1.359472499969196633e+03	1.389080461825818247e+03	1.263430031100666383e+03	1.548834169599373581e+03
1.860900000000000034e+02	1.358957047416256273e+03	1.388351520527613047e+03	1.262737505567598873e+03	1.548208330260197499e+03
1.869199999999999875e+02	1.358444704310833458e+03	1.387626976539494535e+03	1.262049157667928057e+03	1.547586266272541707e+03
1.877500000000000000e+02	1.357935434868193852e+03	1.386906779255503352e+03	1.261364939323820181e+03	1.546967934188189702e+03
1.885799999999999841e+02	1.357429203878332373e+03	1.386190878882450306e+03	1.260684803229607041e+03	1.546353291256734337e+03
1.894099999999999966e+02	1.356925976694219571e+03	1.385479226423291948e+03	1.260008702835993972e+03	1.545742295411308305e+03
1.902399999999999807e+02	1.356425719220337214e+03	1.384771773660921554e+03	1.259336592334658462e+03	1.545134905254665227e+03
1.910699999999999932e+02	1.355928397901499920e+03	1.384068473142357107e+03	1.258668426643230532e+03	1.544531080045605904e+03
1.918999999999999773e+02	1.355433979711947813e+03	1.383369278163318540e+03	1.258004161390638728e+03	1.543930779685735615e+03
